10.192.43.84, 2016-02-25 18:28:22, GET, /admin/static/_2.13.4/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.001884
10.192.43.84, 2016-02-25 18:28:22, GET, /admin/static/_2.13.4/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.003436
10.192.43.84, 2016-02-25 18:28:22, GET, /admin/static/_2.13.4/js/bootstrap.min.js, HTTP/1.1, 200, 0.001798
10.192.43.84, 2016-02-25 18:28:22, GET, /admin/static/_2.13.4/images/questions.png, HTTP/1.1, 200, 0.000913
10.192.43.84, 2016-02-25 18:28:23, GET, /favicon.ico, HTTP/1.1, 400, 0.000369
10.192.43.84, 2016-02-25 18:28:23, GET, /favicon.ico, HTTP/1.1, 400, 0.000269
10.192.43.84, 2016-02-25 18:28:31, POST, /admin/default/index, HTTP/1.1, 303, 0.042780
10.192.43.84, 2016-02-25 18:28:31, GET, /admin/default/peek/welcome/controllers/default.py, HTTP/1.1, 200, 0.043446
10.192.43.84, 2016-02-25 18:31:05, GET, /admin/default/design/welcome, HTTP/1.1, 200, 0.136974
10.192.43.84, 2016-02-25 18:31:06, GET, /admin/static/_2.13.4/images/search.png, HTTP/1.1, 200, 0.000745
10.192.43.84, 2016-02-25 18:31:06, GET, /admin/static/_2.13.4/images/help.png, HTTP/1.1, 200, 0.002233
10.192.43.84, 2016-02-25 18:31:06, GET, /admin/static/_2.13.4/images/test_icon.png, HTTP/1.1, 200, 0.000763
10.192.43.84, 2016-02-25 18:31:06, GET, /admin/static/_2.13.4/images/delete_icon.png, HTTP/1.1, 200, 0.002057
10.192.43.84, 2016-02-25 18:31:15, GET, /admin/default/edit/welcome/models/menu.py, HTTP/1.1, 200, 0.055932
10.192.43.84, 2016-02-25 18:31:15, GET, /admin/static/_2.13.4/codemirror/lib/codemirror.js, HTTP/1.1, 200, 0.001541
10.192.43.84, 2016-02-25 18:31:15, GET, /admin/static/_2.13.4/codemirror/lib/codemirror.css, HTTP/1.1, 200, 0.002893
10.192.43.84, 2016-02-25 18:31:15, GET, /admin/static/_2.13.4/codemirror/theme/web2py.css, HTTP/1.1, 200, 0.002627
10.192.43.84, 2016-02-25 18:31:15, GET, /admin/static/_2.13.4/codemirror/addon/edit/matchbrackets.js, HTTP/1.1, 200, 0.001561
10.192.43.84, 2016-02-25 18:31:15, GET, /admin/static/_2.13.4/codemirror/mode/python/python.js, HTTP/1.1, 200, 0.000614
10.192.43.84, 2016-02-25 18:31:15, GET, /admin/static/_2.13.4/codemirror/mode/css/css.js, HTTP/1.1, 200, 0.001326
10.192.43.84, 2016-02-25 18:31:15, GET, /admin/static/_2.13.4/codemirror/addon/edit/closetag.js, HTTP/1.1, 200, 0.003893
10.192.43.84, 2016-02-25 18:31:15, GET, /admin/static/_2.13.4/codemirror/mode/xml/xml.js, HTTP/1.1, 200, 0.002327
10.192.43.84, 2016-02-25 18:31:15, GET, /admin/static/_2.13.4/codemirror/mode/javascript/javascript.js, HTTP/1.1, 200, 0.001529
10.192.43.84, 2016-02-25 18:31:15, GET, /admin/static/_2.13.4/codemirror/mode/htmlmixed/htmlmixed.js, HTTP/1.1, 200, 0.001633
10.192.43.84, 2016-02-25 18:31:15, GET, /admin/static/_2.13.4/codemirror/addon/hint/show-hint.js, HTTP/1.1, 200, 0.002750
10.192.43.84, 2016-02-25 18:31:15, GET, /admin/static/_2.13.4/codemirror/addon/hint/python-hint.js, HTTP/1.1, 200, 0.003640
10.192.43.84, 2016-02-25 18:31:15, GET, /admin/static/_2.13.4/codemirror/addon/search/searchcursor.js, HTTP/1.1, 200, 0.002526
10.192.43.84, 2016-02-25 18:31:15, GET, /admin/static/_2.13.4/codemirror/addon/hint/show-hint.css, HTTP/1.1, 200, 0.002712
10.192.43.84, 2016-02-25 18:31:15, GET, /admin/static/_2.13.4/codemirror/addon/search/search.js, HTTP/1.1, 200, 0.001493
10.192.43.84, 2016-02-25 18:31:15, GET, /admin/static/_2.13.4/codemirror/addon/dialog/dialog.css, HTTP/1.1, 200, 0.002752
10.192.43.84, 2016-02-25 18:31:15, GET, /admin/static/_2.13.4/codemirror/addon/selection/active-line.js, HTTP/1.1, 200, 0.001328
